Date;Open;High;Low;Close*;Adj Close**;Volume
Apr 25, 2006;11,336.56;11,428.37;11,260.84;11,343.29;11,343.29;20,256,500
Apr 18, 2006;11,074.58;11,405.88;11,074.58;11,336.32;11,336.32;14,954,500
Apr 11, 2006;11,141.33;11,186.64;11,039.12;11,073.78;11,073.78;9,492,700
Apr 04, 2006;11,142.54;11,269.30;11,108.02;11,141.33;11,141.33;12,011,800
Mar 28, 2006;11,250.11;11,281.77;11,105.65;11,144.94;11,144.94;14,243,000
Mar 21, 2006;11,275.89;11,334.96;11,221.54;11,250.11;11,250.11;14,342,400
Mar 14, 2006;11,076.02;11,308.39;11,058.65;11,274.53;11,274.53;15,606,900
Mar 07, 2006;10,957.31;11,116.68;10,922.73;11,076.02;11,076.02;13,362,300
Feb 28, 2006;11,096.75;11,106.68;10,929.22;10,958.59;10,958.59;15,286,100
Feb 21, 2006;11,115.48;11,159.18;11,010.22;11,097.55;11,097.55;13,939,800
Feb 14, 2006;10,890.72;11,131.95;10,890.72;11,115.32;11,115.32;12,380,500
Feb 07, 2006;10,796.42;10,952.27;10,737.67;10,892.32;10,892.32;15,440,500
Jan 31, 2006;10,900.40;10,967.57;10,770.97;10,798.27;10,798.27;16,269,300
Jan 24, 2006;10,690.21;10,932.34;10,672.60;10,899.92;10,899.92;19,114,900
Jan 17, 2006;10,957.87;10,957.87;10,661.15;10,688.77;10,688.77;18,691,500
Jan 10, 2006;11,010.46;11,047.76;10,921.53;10,959.87;10,959.87;10,368,700
Jan 03, 2006;10,718.30;11,020.15;10,684.45;11,011.90;11,011.90;13,653,300
Dec 27, 2005;10,883.75;10,932.82;10,709.42;10,717.50;10,717.50;6,784,500
Dec 20, 2005;10,836.93;10,904.80;10,789.62;10,883.27;10,883.27;8,685,100
Dec 13, 2005;10,765.69;10,940.34;10,751.36;10,836.53;10,836.53;17,132,600
Dec 06, 2005;10,835.41;10,936.20;10,729.67;10,767.77;10,767.77;12,544,700
Nov 29, 2005;10,888.48;10,959.79;10,803.87;10,835.01;10,835.01;12,221,200
Nov 22, 2005;10,815.96;10,955.48;10,787.22;10,890.72;10,890.72;9,297,500
Nov 15, 2005;10,697.17;10,835.33;10,652.27;10,820.28;10,820.28;14,291,900
Nov 08, 2005;10,574.18;10,710.06;10,519.39;10,697.17;10,697.17;11,467,200
Nov 01, 2005;10,440.07;10,593.35;10,388.76;10,586.23;10,586.23;13,672,200
Oct 25, 2005;10,383.88;10,486.65;10,229.95;10,440.07;10,440.07;13,534,000
Oct 18, 2005;10,349.14;10,432.78;10,193.45;10,385.00;10,385.00;15,709,400
Oct 11, 2005;10,239.16;10,350.99;10,156.46;10,348.10;10,348.10;13,066,500
Oct 04, 2005;10,534.36;10,567.82;10,218.09;10,238.76;10,238.76;13,588,800
